アンテナケーブル,tfidf
アンテナ,0.5055143239774728
ケーブル,0.42199238394717725
テレビ,0.23930595567535246
配線,0.19392504296548005
購入,0.18903221678536994
bs,0.1767219393541197
受信,0.17199451851304548
問題,0.15104910780513203
分配,0.1504761067767752
こと,0.14044917041529822
ブースター,0.13297888505854552
接続,0.12056925255633637
デジ,0.10750192599173351
電波,0.10618792012544546
商品,0.10599937389833827
よう,0.10334938955087981
cs,0.10328616418813613
ため,0.10158273331924085
もの,0.09186612404522651
使用,0.08656615535030959
端子,0.0852494570021182
放送,0.0822582479845
設置,0.08210497224007908
対応,0.07508288984465628
レベル,0.0741995617288368
tv,0.07279652984533516
信号,0.07166795066115568
製品,0.07154957738137833
これ,0.06713293680228091
チャンネル,0.06473972035744979
ところ,0.06448295245482245
ノイズ,0.06431099387879091
交換,0.058299655644086054
レコーダー,0.056912784348564796
同軸,0.056912784348564796
必要,0.056532999412447084
視聴,0.05533736682593637
室内,0.04804433483456933
画質,0.04804433483456933
部屋,0.0477727227110012
チューナー,0.04637337983957132
感度,0.04549277646739715
コネクタ,0.04199333212375121
こちら,0.03886643709605737
コード,0.03886643709605737
ネジ,0.03886643709605737
電源,0.0386731564803343
プラグ,0.038493887780105276
cfb,0.03794185623237654
ｔｖ,0.03794185623237654
延長,0.0376563705460138
満足,0.0370997808644184
サッシ,0.03674416560828231
普通,0.03621645274859891
屋根,0.03583397533057784
地上波,0.03499444343645935
減衰,0.03499444343645935
部分,0.03444979651695994
ブロック,0.03439890370260909
db,0.03372609442877914
キャップ,0.032985927586167495
耐久,0.032985927586167495
工事,0.0329032991938
メーカー,0.031799812169501486
取り付け,0.031163892865666596
テープ,0.03071103602850077
価格,0.030033155937862512
映り,0.029745276920990445
コネクター,0.02951033262518175
ナット,0.02951033262518175
断線,0.02951033262518175
映像,0.028566901793527714
固定,0.028035844179539197
分岐,0.027402451723383053
金メッキ,0.027402451723383053
10,0.026499843474584568
確認,0.026499843474584568
ベランダ,0.02624583257734451
位置,0.026033283881000683
調整,0.026033283881000683
場所,0.025616515358765083
簡単,0.025616515358765083
自分,0.025616515358765083
20,0.024733187242945598
それ,0.024733187242945598
両端,0.02449611040552154
安価,0.02403072358246217
安定,0.023849859127126113
強度,0.023372919649249944
録画,0.02318668991978566
ｂｓ,0.02318668991978566
以上,0.022966531011306628
性能,0.022966531011306628
機器,0.02274891557666724
混合,0.022746388233698574
ホームセンター,0.022434067632136363
そう,0.022083202895487142
以前,0.022083202895487142
綺麗,0.022083202895487142
返品,0.022083202895487142
両面,0.022074424113180502
値段,0.021199874779667654
dx,0.021078809017986963
利得,0.021078809017986963
品質,0.0210268831346544
fb,0.020996666061875606
屋内,0.020938463123327273
接触,0.020938463123327273
画面,0.020474024019000513
cm,0.02031654666384817
大変,0.02031654666384817
表示,0.02002560298538514
隙間,0.019433218548028684
ロス,0.019246943890052638
取付,0.019246943890052638
uhf,0.01897092811618827
amazon,0.0185498904322092
本体,0.0185498904322092
評価,0.0185498904322092
説明,0.0185498904322092
出力,0.01817893750497218
環境,0.018023042686846628
中継,0.017497221718229674
衛星,0.017497221718229674
50,0.01702176253757737
エレコム,0.01686304721438957
セット,0.016783234200570228
付属,0.016783234200570228
場合,0.016783234200570228
状態,0.016783234200570228
程度,0.016783234200570228
コンセント,0.0164516495969
メートル,0.0164516495969
15,0.016020482388308114
機能,0.016020482388308114
選択,0.015924240903667067
ダメ,0.015899906084750743
レビュー,0.015899906084750743
今回,0.015899906084750743
十分,0.015899906084750743
増幅,0.015747499546406706
自作,0.015747499546406706
地域,0.015581946432833298
便利,0.015019202239038855
最大,0.015019202239038855
電気,0.015019202239038855
さん,0.015016577968931256
利用,0.015016577968931256
変更,0.015016577968931256
心配,0.015016577968931256
非常,0.015016577968931256
低下,0.01495604508809091
内蔵,0.01495604508809091
加工,0.014786795124833704
コーダ,0.014755166312590875
施工,0.014755166312590875
屋外,0.014283450896763857
タイプ,0.014133249853111771
結果,0.014133249853111771
劣化,0.014017922089769598
hdmi,0.013997777374583738
ねじ,0.013997777374583738
シールド,0.013997777374583738
マンション,0.013997777374583738
整合,0.013997777374583738
不良,0.013649349346000343
ジャック,0.01346044057928182
あと,0.013249921737292284
効果,0.013249921737292284
安心,0.013249921737292284
日本,0.013249921737292284
通り,0.013249921737292284
途中,0.013016641940500341
音声,0.012984955360694415
bscs,0.012647285410792177
horic,0.012647285410792177
オス,0.012647285410792177
片方,0.012647285410792177
芯線,0.012647285410792177
パーツ,0.012511903567166981
とき,0.012366593621472799
コス,0.012366593621472799
全て,0.012366593621472799
原因,0.012366593621472799
大丈夫,0.012366593621472799
最初,0.012366593621472799
期待,0.012366593621472799
残念,0.012366593621472799
発生,0.012366593621472799
自体,0.012366593621472799
bd,0.01224805520276077
天候,0.01224805520276077
損失,0.01224805520276077
柔軟,0.01224805520276077
電流,0.01224805520276077
画像,0.012015361791231085
差し込み,0.011964836070472728
数値,0.011964836070472728
金具,0.011964836070472728
アルミ,0.011686459824624972
量販,0.011686459824624972
100,0.011483265505653314
